"SAMPN","VEHNO","YEAR","MAKE","O_MAKE","MODEL","BODY","O_BODY","FUEL","O_FUEL","USER","CNTV","O_CNTV","HHWGT","EXPWGT"
2000306,3,2004,50.00,,"COROLLA",1.00,,1.00,,99.00,1.00,,1.53,256.19
2000313,1,2008,51.00,,"PASSAT",1.00,,1.00,,1.00,1.00,,1.54,258.99
2000323,1,1997,24.00,,"ACCORD",1.00,,1.00,,1.00,1.00,,0.98,164.52
2000323,2,2009,24.00,,"ACCORD",1.00,,1.00,,2.00,1.00,,0.98,164.52
2000326,1,2004,50.00,,"4RUNNER",3.00,,1.00,,2.00,1.00,,1.45,242.38
2000326,2,2009,24.00,,"ACCORD",1.00,,1.00,,1.00,1.00,,1.45,242.38
2000345,1,2000,38.00,,"MIRAGE DINGO MINIVAN",2.00,,1.00,,1.00,1.00,,1.45,242.93
2000345,2,2006,50.00,,"COROLLA",1.00,,1.00,,2.00,2.00,"NOT NEEDED",1.45,242.93
2000352,1,1997,45.00,,"9000",1.00,,1.00,,1.00,1.00,,1.35,226.01
2000358,1,1979,36.00,,"DK/RF",99.00,,2.00,,1.00,1.00,,1.13,189.79
2000358,2,1979,36.00,,"DK/RF",99.00,,2.00,,2.00,2.00,"NOT NEEDED",1.13,189.79
2000358,3,1972,36.00,,"DK/RF",99.00,,1.00,,1.00,2.00,"NOT NEEDED",1.13,189.79
2000381,1,2000,34.00,,"NAVIGATOR",3.00,,1.00,,2.00,1.00,,1.60,268.10
2000381,2,2004,19.00,,"DURANGO",3.00,,1.00,,1.00,1.00,,1.60,268.10
2000407,1,2010,24.00,,"CIVIC",1.00,,3.00,,2.00,1.00,,1.26,212.00
2000412,1,2002,30.00,,"LIBERTY",3.00,,1.00,,8.00,1.00,,2.14,357.92
2000424,1,2005,19.00,,"CARAVAN",2.00,,1.00,,1.00,1.00,,1.22,204.45
2000424,2,2003,16.00,,"IMPALA",1.00,,1.00,,2.00,1.00,,1.22,204.45
2000424,3,2008,97.00,"DUCATI","MONSTER",99.00,,1.00,,2.00,2.00,"MAIL-IN",1.22,204.45
2000425,1,2002,42.00,,"BONNEVILLE",1.00,,1.00,,2.00,1.00,,1.10,185.19
2000425,2,2005,14.00,,"RAINIER",3.00,,1.00,,1.00,1.00,,1.10,185.19
2000437,1,2005,46.00,,"ION3",99.00,,1.00,,1.00,1.00,,0.78,131.58
2000459,1,2008,24.00,,"ACCORD",1.00,,1.00,,1.00,1.00,,1.03,173.62
2000469,1,2009,24.00,,"CR-V",3.00,,1.00,,1.00,1.00,,1.12,187.87
2000469,2,2000,16.00,,"IMPALA",1.00,,1.00,,2.00,2.00,"DK/RF",1.12,187.87
2000469,3,2009,24.00,,"ACCORD",1.00,,1.00,,3.00,1.00,,1.12,187.87
2000471,1,2000,51.00,,"JETTA",1.00,,1.00,,2.00,1.00,,1.54,257.58
2000471,2,2008,24.00,,"RIDGELINE",4.00,,1.00,,1.00,1.00,,1.54,257.58
2000479,1,2004,14.00,,"LESABRE",1.00,,1.00,,1.00,1.00,,0.91,152.21
2000492,1,2009,50.00,,"CAMRY",1.00,,1.00,,1.00,1.00,,0.93,155.57
2000496,1,2008,24.00,,"ODYSSEY",2.00,,1.00,,2.00,1.00,,0.82,138.46
2000496,2,2002,17.00,,"VOYAGER",2.00,,1.00,,1.00,1.00,,0.82,138.46
2000496,3,2010,50.00,,"COROLLA",1.00,,1.00,,4.00,1.00,,0.82,138.46
2000496,4,1994,50.00,,"CAMRY",1.00,,1.00,,3.00,1.00,,0.82,138.46
2000525,1,2007,50.00,,"RAV4",3.00,,1.00,,1.00,1.00,,1.45,242.38
2000525,2,2008,16.00,,"SILVERADO",4.00,,1.00,,2.00,1.00,,1.45,242.38
2000533,1,1997,13.00,,"520",1.00,,1.00,,1.00,1.00,,1.44,240.75
2000533,2,1997,39.00,,"MAXIMA",1.00,,1.00,,1.00,2.00,"MAIL-IN",1.44,240.75
2000533,3,9998,24.00,,"DK/RF",1.00,,1.00,,3.00,2.00,"MAIL-IN",1.44,240.75
2000533,4,9998,20.00,,"DK/RF",4.00,,2.00,,3.00,2.00,"MAIL-IN",1.44,240.75
2000535,1,2005,50.00,,"TACOMA",4.00,,1.00,,1.00,2.00,"NOT NEEDED",1.54,258.99
2000548,1,2003,50.00,,"AVALON",1.00,,1.00,,1.00,2.00,"NOT NEEDED",1.30,217.67
2000548,2,2009,50.00,,"SCION XB",99.00,,1.00,,1.00,1.00,,1.30,217.67
2000573,1,2008,13.00,,"535XI",1.00,,1.00,,2.00,1.00,,1.56,261.80
2000573,2,2006,50.00,,"HIGHLANDER",3.00,,3.00,,1.00,1.00,,1.56,261.80
2000582,1,2008,30.00,,"LIBERTY",3.00,,1.00,,1.00,1.00,,2.07,346.44
2000587,1,2005,32.00,,"DK/RF",99.00,,1.00,,1.00,1.00,,1.75,293.48
2000592,1,2005,50.00,,"CAMRY",1.00,,1.00,,1.00,1.00,,1.01,169.95
2000592,2,2002,24.00,,"ACCORD",1.00,,1.00,,2.00,1.00,,1.01,169.95
2000598,1,2005,20.00,,"FOCUS",1.00,,1.00,,1.00,1.00,,1.43,239.02
2000598,2,2008,35.00,,"3",1.00,,1.00,,2.00,1.00,,1.43,239.02
2000600,1,1996,22.00,,"SUBURBAN",3.00,,1.00,,1.00,2.00,"NOT NEEDED",1.61,270.02
2000602,1,2007,16.00,,"COBALT",1.00,,1.00,,1.00,1.00,,1.54,258.99
2000615,1,1997,40.00,,"CUTLASS SUPREME",1.00,,1.00,,1.00,1.00,,2.04,341.16
2000618,1,2007,24.00,,"FIT",1.00,,1.00,,2.00,1.00,,1.11,186.29
2000618,2,1998,35.00,,"PICK UP TRUCK",4.00,,1.00,,1.00,2.00,"NOT NEEDED",1.11,186.29
2000618,3,1997,24.00,,"CIVIC",1.00,,1.00,,1.00,2.00,"NOT NEEDED",1.11,186.29
2000636,1,2009,14.00,,"LUTHERAN",1.00,,1.00,,1.00,1.00,,1.33,222.93
2000636,2,1997,20.00,,"MAVERICK RV",99.00,,1.00,,1.00,2.00,"NOT NEEDED",1.33,222.93
2000636,3,2000,40.00,,"ALERO",1.00,,1.00,,3.00,1.00,,1.33,222.93
2000651,1,2005,24.00,,"PILOT",3.00,,1.00,,99.00,1.00,,1.60,268.70
2000651,2,2003,51.00,,"JETTA",1.00,,1.00,,99.00,1.00,,1.60,268.70
2000675,1,2007,50.00,,"COROLLA",1.00,,1.00,,1.00,1.00,,1.52,254.22
2000676,1,2007,39.00,,"SENTRA",1.00,,1.00,,1.00,1.00,,0.84,140.41
2000676,2,2005,22.00,,"SAVANA",2.00,,1.00,,2.00,2.00,"OTHER VEHICLE IS MORE FUEL EFFICIENT",0.84,140.41
2000676,3,2003,39.00,,"ALTIMA",1.00,,1.00,,3.00,2.00,"OTHER VEHICLE IS MORE FUEL EFFICIENT",0.84,140.41
2000685,1,2005,50.00,,"SIENNA",2.00,,1.00,,1.00,1.00,,1.10,184.95
2000685,2,2006,45.00,,"9-3 SAAB",1.00,,1.00,,2.00,1.00,,1.10,184.95
2000688,1,1999,50.00,,"SIENNA",2.00,,1.00,,1.00,1.00,,2.01,336.70
2000688,2,2007,24.00,,"ODYSSEY",2.00,,1.00,,2.00,1.00,,2.01,336.70
2000699,1,2010,26.00,,"ACCENT",1.00,,1.00,,1.00,1.00,,1.45,242.38
2000699,2,2005,19.00,,"CARAVAN",2.00,,1.00,,2.00,1.00,,1.45,242.38
2000709,1,2008,50.00,,"PRIUS",1.00,,1.00,,1.00,1.00,,1.08,181.98
2000709,2,2005,48.00,,"FORESTER",3.00,,1.00,,2.00,1.00,,1.08,181.98
2000721,1,2002,50.00,,"PRIUS",1.00,,3.00,,2.00,1.00,,1.03,172.73
2000721,2,2009,35.00,,"MAZDA 5",2.00,,1.00,,99.00,1.00,,1.03,172.73
2000769,1,2009,43.00,,"CAYENNE",3.00,,1.00,,1.00,2.00,"NOT NEEDED",1.03,173.62
2000798,1,2010,24.00,,"PILOT",3.00,,1.00,,1.00,2.00,"DK/RF",1.17,195.99
2000798,2,9998,11.00,,"TL",1.00,,1.00,,2.00,1.00,,1.17,195.99
2000798,3,2010,48.00,,"FORESTER",3.00,,1.00,,3.00,2.00,"DK/RF",1.17,195.99
2000798,4,2007,97.00,"MINI COOPER","MINI COOPER",1.00,,1.00,,1.00,1.00,,1.17,195.99
2000813,1,2003,37.00,,"GRAND MARQUIS",1.00,,1.00,,1.00,2.00,"MAIL-IN",1.10,185.19
2000813,2,2003,14.00,,"LESABRE",1.00,,1.00,,2.00,1.00,,1.10,185.19
2000836,1,2002,24.00,,"CIVIC",1.00,,1.00,,2.00,2.00,"DK/RF",1.28,215.48
2000841,1,2000,50.00,,"COROLLA",1.00,,1.00,,1.00,2.00,"NOT NEEDED",1.71,287.28
2000841,2,2009,26.00,,"SONATA",1.00,,1.00,,2.00,1.00,,1.71,287.28
2000854,1,1990,11.00,,"INTEGRA",1.00,,1.00,,1.00,2.00,"NOT NEEDED",1.39,232.87
2000854,2,2007,50.00,,"PRIUS",1.00,,1.00,,2.00,1.00,,1.39,232.87
2000858,1,2004,19.00,,"RAM PICK UP",4.00,,1.00,,1.00,1.00,,1.01,169.56
2000858,2,1999,19.00,,"RAM VAN",2.00,,1.00,,2.00,1.00,,1.01,169.56
2000875,1,2000,17.00,,"TOWN & COUNTRY",2.00,,1.00,,1.00,1.00,,1.56,261.80
2000875,2,1994,50.00,,"CAMRY",1.00,,1.00,,2.00,1.00,,1.56,261.80
2000879,1,2003,17.00,,"CONCORDE",1.00,,1.00,,1.00,1.00,,1.54,258.99
2000892,1,2004,24.00,,"CR-V",3.00,,1.00,,2.00,1.00,,1.13,189.96
2000895,1,2007,50.00,,"CAMRY",1.00,,1.00,,1.00,1.00,,1.15,192.63
2000906,1,2010,20.00,,"FUSION",1.00,,1.00,,2.00,1.00,,1.43,240.56
2000906,2,2009,48.00,,"FORESTER",3.00,,1.00,,1.00,1.00,,1.43,240.56
2000936,1,2002,50.00,,"CAMRY",1.00,,1.00,,1.00,1.00,,1.53,255.78
2000947,1,2010,50.00,,"HIGHLANDER",3.00,,1.00,,1.00,1.00,,1.05,177.09
2000947,2,2006,50.00,,"COROLLA",1.00,,1.00,,2.00,1.00,,1.05,177.09
2000947,3,2000,50.00,,"COROLLA",1.00,,1.00,,3.00,1.00,,1.05,177.09
2000947,4,1998,50.00,,"COROLLA",1.00,,1.00,,4.00,1.00,,1.05,177.09
2000948,1,2008,24.00,,"CR-V",3.00,,1.00,,2.00,1.00,,0.99,165.62
2000948,2,2003,24.00,,"ACCORD",1.00,,1.00,,1.00,2.00,"MAIL-IN",0.99,165.62
2000948,3,2008,53.00,,"MOTORCYCLE",7.00,,1.00,,2.00,2.00,"MAIL-IN",0.99,165.62
2000969,1,1999,48.00,,"STATION WAGON",99.00,,1.00,,1.00,1.00,,2.01,336.31
2000985,1,1999,39.00,,"PATHFINDER",3.00,,1.00,,1.00,1.00,,1.41,236.68
2000985,2,9998,17.00,,"DK/RF",1.00,,1.00,,2.00,2.00,"NOT NEEDED",1.41,236.68
